안녕, 형아
10,뜨아아아아앙ㅠ 넘 ㅜ슬프다궁ㅠㅠ 왤케 울리니 한이야 ㅠㅠ
10,감동적이다.
10,흥~ 너무 슬퍼욘 ㅠ.ㅠ
10,절대로 기억이 떠나지 않는 영화 안녕 형아...정말 감동적이었고 슬펐습니다.//
10,너무 슬퍼서 울기만 했어요.ㅠ.ㅠ
8,너무 슬펐어요.. 감동적이고요..ㅠ.ㅠ
10,영화는못 봣지만 책으로 봣는데  너무 슬퍼요ㅠㅠㅠㅠㅠㅠ
10,넘슬퍼요ㅠㅠㅠㅠ
10,슬프긴 하던데 전왜 눈물이 안났을까요...
4,최루성향 드라마
10,이책너무감동적이죠저는영화로는안봤는데책으로봐두감동받드라구요전너무감동받았어욤
10,그.... 웅이라는 애 불쌍해 의사들은  그걸.......
10,나 이영화 보다가 울었어여...흑흑...감동적~
10,이 영화를 본다면 아픈 사람들의 마음을 더욱더 헤아려 줄 수 있을것 같습니다.
8,이 때만 해도 옥동자 전성기.. ㅋㅋ
10,저는 예전에 이걸 봤는데 감동적이였어요.......
10,ㅎㅎㅎ 짱이었삼.어제 쌤이 보여줬는데... 옥동자 캡이여음 ㅋ
9,너무나 감동적인 영화입니다. 이 영화를 강추하고요 꼭 보셨으면 하는 영화입니다.ㅎ
10,너무나 감동적 영화 입니다 .. 형와 동생 사이 .. 너무 강력 추천 .!!!
10,진짜 이영화 형제간 다투면 봐야할듯
10,이거 어릴때 봤는데 감동 제대로 받은 ㅋㅋ
10,넘넘 귀여웡~
10,슬퍼서 막 울었음
10,ㅠㅠ 막 울었음
10,정말.... 슬프고 안타까운 느낌..
8,꽤 감동적이였다..
8,슬픔을 울리는 매체..
10,아까 DVD로 보고왓는데염  .. 아.. 진짜 정상인으로 사는게 감사하다고 생각합니다.
8,은근 반전도있었던 마음이 찡한 영화
10,다시봐도 슬프고 감동적인영화 흑흑 광고만으로도 눈물이
5,틈틈을 채우는 부모의 아픔에 울었다.
10,재밌고,너무감동적ㅠ
10,다보았다
9,슬프다.
10,보고  많이 울었습니다. 너무 가슴이 찡하네요.
10,보고 얼마나 울었는지... 진짜 당분간 다른 영화 아무리 봐도 안울 듯 하네요.
10,넘 슬픔..
10,슬프면서 감동이 가득한 이 영화(장한이형이 눈감다가 뜬후부터 봤어요.....)
8,슬픔.
10,굳
10,정말 슬펐습니다. 욱이가 죽고, 한별이가 살고... 정말 정말 감동이며, 슬픕니다,
10,정말 감동적이었습니다.보는 내내 슬펐어요.
10,슬프네요이게실화라는거에요.캐나다에서살고있는설희라는사람빨리나았으면좋겠습니다
10,슬프네요.
10,감동적입니다. 정말 많이 울었습니다.
10,와~ 진짜 여태까지본영화중에 젤많이 울었다;; 추천이여^ㅡ^
10,넘~슬프다 마지막에 욱이 죽는거....ㅠㅠㅠㅠㅠㅠㅠㅠㅠ신고
10,흑흑 존나 슬퍼ㅠㅠ
10,짱짱 나 울었음
10,난 이게 엄청 좋아~~~~~~~~~~~~~~~~!!!!!!!!
10,이건 계속봐도봐도 재미있더라구요^^*
10,이거보고 존나울었음
10,재미있다ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅎㅎ
10,나쁘지않았음 ㅎㅎ기대는하지말고보삼
9,지민군연기두 정말좋구요 가족의소중함을느끼게해주는영화에요
10,굿!!
10,박지빈진짜~~~~~~~~~~~~~~~~~~~~조아~~~~~~~~~~~~~~~
9,감동적임
10,진짜 정말 많이 울었어요~너무 감동적이예요
10,굿!!아역최고
10,굿굿굿!
10,아이들의 연기가 최고!!
10,너무 감동적이였어요 ㅜㅜ 마지막에 찐짜찐짜 많이 울었어요
10,넘 감동적이구요 슬퍼요 아거보고 울었어요*^^*
10,또보고 싶어요... 정말 감동이야.. 마지막쯤에 ㅜㅜ
10,엄청감동받았습니다....또 보고 싶은 영화,
10,완전감동ㅠㅠㅠㅠㅠㅠㅠㅠㅠ다시보고싶은영화!!!!!!!!!!!!!!!!!!
10,가슴 뭉클해지는 영화
10,재미있어
10,아 ㅠ_ㅠ 넘 슬퍼욜 ~~!!!!!!!!!이거 누가만들었어 ㅠ_ㅠ 넘 슬퍼 ㅠ_ㅠ
10,정말 감동적인 영화!!
10,이거 너무 슬펏어욜..... 중간에 너무 울엇어욜;;;
10,너무 감동받았어요. 그리고 박지빈오빠 연기 짱!
9,완전신파 처음부터 끝까지 울었다 머리가 다 아퍼 ㅠㅠ
10,재미당~~
10,너무감동적이구 넘넘 잼있어요
10,너무 감동 적이야,,
10,너무 슬픈 형재의 이야기~~
10,언젠가 채널 돌리다가 배종옥님 보고 리모컨 놨던.. 얼마나 가슴이 미어지던지..
10,이제사람들업네어쨌든ㅇ;영화잼있습!!
10,많이 울었어요ㅜㅜ 박지빈 연기 잘해요~!!
7,실존 인물을 소재로 한 영화라 형을 못 죽이고 욱이를 죽였네요. 박지빈군 굿~
10,ㅠ.ㅠ너무감동적이였어요
10,감동적이다. 순수한한아이의마음이기적을만들어나가는과정
10,아이의 순수한 마음이 기적을 만드는 영화네요 ^_^
10,아.. 너무 감동적입니다... 많이울었어요
10,아...진자 아직도 눈물나네
10,이!!영화♥감동적이다&gt_&lt
10,기억안나
10,내가 감동받았기 때문에 좋다~너무 작품 따지고 들지 맙시다!
10,감동적이예요 ~~~~~
10,지빈오빠 화이팅 아자
10,형제의 이야기 너무 슬어열
10,재밌는 부분도 있고 슬픈이야기
10,슬픈 이야기
6,크게 감동은 안된다 . 다큐멘터리 같다 .
10,저렇게 순수한 얘들리 병에 걸리면 안돼..ㅠㅠ박지만하고 서대현 눈이 순수해서 슬퍼
9,뻔한스토리지만 . 언제나 감동이오는 소재
10,욱이어떡해..ㅜㅜ 죽어버렸어..ㅠㅠ 살아야 더욱 좋을텐데..
9,마지막에 형이죽는줄알았는데..? 형이죽었으면 더 재밌을듯ㅋ
10,ㅊ눈물나 ㅜㅜ
5,애들의 시선으로 않봐서일까? 뻔할줄 알아서일까? 눈물 없이 코끝만 약간 찡하네~
10,감동정이다
8,감동적이다
10,재미있었고 감동적이였음^^
10,처음에는 웃겼는데 중간에는 너무 슬퍼서 눈물이 나왔음
10,Good!!감동적이었습니다..^-------^
7,괜찮음
6,너무 작위적이라 감동은 별로.....그치만 지빈이의 연기는 최고였다
7,괜찮음
9,따뜻한 가족영화^-^
10,연기력이 좋았어요!
10,다들 연기력 굿b. 빤하다지만 그게 우리가 살아가는 모습이지 않은가!!
9,조금 지루한 면도 있지만, 눈물샘 자극은 확실.
7,귀여운 아이들~ 아역 연기자들 연기잘함
10,포근하니 좋았다, 질리지 않은듯? 지빈이도 귀여웠고..
8,그래도 괜찬은영화
2,실제 이야기를 떠나서... 정말로 허무한 감동만 준다.
10,흐흑 ..ㅠ,ㅠ     ㅠ,ㅠ  우리 가조 ㄱ이거 보다 눈물 터졌스여~~
10,아역들 모두 연기 잘한다..
10,메말라있던 세상에 단비처럼 내리는 이 영화.. 좋았음 ㅋ
1,억지 신파 + 억지 감동.. 이런 영화는 그만..
10,좋은데 ? ㅋㅋ
1,뻔한 스토리에 억지스러운 감동
10,아 지빈이 진짜연기잘한다 감동지대다ㅠㅠ
6,욱이 불쌍
8,뻔한 얘기지만, 감정을 북돋우는 이야기.
7,귀여운 지빈이
6,착한스토리에 눈물이 흐를려고하다가, 강요한다는 느낌을 받아 쏙 들어가버려
10,초뒹때 보다가 울었다.... 그때 머가그리 슬펐는지....
7,눈물신에 추천수 넣어준것뿐이지... 행복신있어서 띄워준것뿐이지...
10,울었습니다.
2,작위적 감동강요 일부러 볼 필요는 없을듯하다
10,쵝오
9,이꼬마 항상생각하는거지만 연기 잘함! 감동적-강추-
9,쪼끄만게 연기 되게 잘한다.
8,탈유교 이후, 바람직한 아버지의 표준 제시. // 다소 빈약한 구성.
10,감동 적이야!!
1,"굿바이 마이 프랜드" 란 영화와 모든게 똑같다 보고 배낀것처럼
5,mylife8318님 대박 ㅎㅎ
1,재미없다 "짜증난다 왜봐
1,↓↓<생로병사의 비밀>이 나을듯...
1,보고나서 이뭐병. 억지감동이다.
2,그냥 댁에서 <병원 25시>를 시청하시는 게..
10,보는내내눈물이자꾸나서죽는줄알았음 ㅜ_ㅜ
7,가족애를 잘 보여준듯 하면서도.. 먼가 부족했음..
9,다소 판타지적인 장면도 나오지만 그래도 감정몰입!
10,짱 감동...
6,형제간의 감동 ,, 그것이 끝인가..
7,주인공 꼬마아이 귀엽다. 연기 무지 잘하는데 ㅋ
9,뭉클하게 만들었던 영화..
8,지빈이가 연기를 너무 잘해서 진짜같은느낌...
7,제목이 Bye가 아닌 Hello Brother였구나..^^
10,너무 슬펐던 영화....ㅠㅠ보는내내 울었다
10,타잔 형님..........ㅋ
8,뻔한 스토리지만 지빈이가 이뻐서 ㅎㅎ
9,충분히 감동적이지만 옥동자에 등장때문에-_-
8,그말을 이해할수 있겠다. 잼있지만 지루해 ㅋ
6,이 말을 이해할수 있을까? 재밌지만 지루해
4,옥동자만 슬펏다
5,........아주약간의 감동
8,너무 슬픈건 별로지만...그래도 감동.
5,여친은 팬더되고,,,난 잘자고...
7,조금.감동
7,아는 사람 얘기다
3,옥동자 때문에 3점이라도 땄음ㅋㅋ
10,감동받았음
4,이렇게 만들거면 드라마시티로 만드는게 낫다.
10,정말좋은영화다,가족끼리봐도 전혀손색없다..
7,애들 연기 정말 잘한다. 근데 결말이 조금...
10,쪼매슬프다... 아역들의연기에 감탄밖에 안나온다
10,박지민의 연기에  10점올인
8,그냥 그냥 이야기니까 다 살았으면...아이들은 안아팠으면
8,형과 동생. 그 뻔하며 징하고 지겨워도 사랑하는 존재
10,아역들의 연기가 돋보였다. 가슴 찡한 영화.
10,한별이만한 어린동생이 있는입장에서...
8,'마음이'를 잇는 감동에 빠져 보실래요?
5,너무 슬프고 감동적이지만 뭔가 허전하다는 느낌이랄까??
9,뻔한 이야기란 게 무엇인가?진정 그 의미를 알고 악평하는가?
8,10분마다 울었다
10,너무너무 슬픔.눈물이 절로 남.배우들 연기 짱 잘해용~^^
8,아역배우들 각각의 개성넘치는 연기.
10,꽤나 심금을 울린 ! 뻔해서 더 슬픈.
7,재수없는 평론가 퉷~
10,26살 먹구 이렇게 울어본게 얼마만인지..
8,박지빈, 그야말로 진정한 프로다
8,뻔한스토리.하지만 가족의소중함을 일깨워줘서 ㅋ
10,정말 슬프면서 아름다운 영화이다.
7,질질짰다. 지빈이의 실제모습이라면 좋겠다.
10,진짜 너무 슬프고 지빈군 연기가 너무 멋졌어요 ~
2,유치하다...
9,슬프다~
9,장한별은 소아암 장한이는 개구쟁이 플러스로 별명이 똥대장
10,이거 마지막에 디게 슬픈데...어떤에는 막 울기까지...
5,보다가 뭐야 이거?
10,진짜진짜 코믹하면서두 감동적이다 ^^ 지빈이 넘 기여버 ><
7,그이상한 타잔같은아저씨떔에 감전3점
1,감정이메말랐나? 재미하나도없드라...욱이가죽을줄짐작했다.
7,너무피곤해서 극장서보다자긴했지만 멋진영화
10,아이들과 함께 볼만한 영화인것 같다.
5,그냥 쥐어짠다.
10,보는내내눈물흘린영화..정말감동적
10,나 이거보고 엄청 울었다 내 친구는 옆에서 꺽꺽 거리면서 울고
10,정말 잘 봤어요. 실제이야기라니..
9,그냥가슴찡한영화
10,너무 슬프고 감동적이였다 이게 실화라니...ㅠ
9,나름 괜찮았는데;;
10,감동의 명작
10,세번봤음감동적! 울진않았지만 가슴따뜻하게해주는 좋은영화!!
10,최고..목이메임..ㅜ_ㅜ최고의영화는감정을끌어내는것
10,존내슬퍼
8,훈훈하고 감동적입니다.
7,음음음 좋아 그치만 지루해.
10,정말 감동적이었다.
7,그럭저럭.
10,울다가 웃다가 시간 가는줄 몰랐다 ..
1,광복절특사올리기작전!,게이버다세포순위자꾸늘릴래?
5,난별로던데... 같이보자고한언니한테미안했다 -_ -
9,감동적인 영화
10,나는 애들에게 약하다ㅠ_ㅠ
4,대단히 순진한고 어리석은 영화
10,아 영화관에서 운건 처음인걸;
10,넘 감동적이여서 영화보고 비디오보고 책으로 봤음.. 울었음..
7,감동이 주목적이다.
10,진짜 서럽게 울었음....
4,연속극은 계속 된다 보거라 응
10,정말 ...
10,한밤중에 가족들 자지도 못하게 혼자 소리내서 울게 한 영화
10,옥동자부분에서 울었다.
9,삭막한 세상에 감동적인 형제애를 보여주는 영화
10,난어린이라서이런영화가재미있게느껴진다.그래서10점을준다
10,친구랑저랑눈물바다를만들어준영화
5,솔직히 슬픈 감정을 느낄만한 정점의 장면이 없다
6,기대도안하고봤는데보러간사람들다재미없단다우는사람도 없더만
10,이인성인가 그놈보단 났지.
8,볼만한영화......
7,박지민 연기로 인해서 울고 웃을수 있었다
10,왠지...
8,박지빈 연기 정말 대단한걸~ 상상하던대로 감동적이다
10,시작한지 얼마 안되서 펑펑 울게 한 영화
1,결말이 엉성해
8,7점짜리..꼬마들이 감동을 준다는게 좋아서 1점더..
8,형제간 우애는 좋았는데 너무 아이들의 시각적 영화는 아닌지..
10,좋아
10,정말 감동깊게 봤음..ㅠ.ㅠ
10,제가받은소중한감동에비해평점이너무낮네요..
6,눈물짜기 영화를 박지빈이 겨우 살린다.
3,그냥 잔잔한 영화
8,아역배우들의 연기력 덕에 8점 내용은 평범
10,박지빈연기 짱.. 정말 감동적!!
10,동화같은 이야기 감독님 최고!!
9,괜찬았음... 연기쵝오~
9,정말볼만하다..연기들도괜찬고~
10,와..애들연기쵝오~!!!감동적이다~~~!!!!
1,별루...
7,이런 영화 항상 비슷; 슬픈 것도; 감동도; ㅠ
8,나름대로 볼만했음
7,슬프고 재밌고 ....
10,정말 슬퍼요
10,이 영화 정말 좋은 영화 같아요
8,감동적.. 슬퍼~~~
7,참 잘 만든 영화 같다. 엄마, 아빠랑 보자.
8,그다지 짜임새는 없지만 감동적임.
7,간만에 잘본 한국영화. 웃다 울었다~ ^ㅜ^
9,ㅋㅋ ㅋㅋ 그냥 엄마 아빠랑 보기 좋은 영화 -_-
10,여태까지 본 영화중에 최고
7,대중적인 영화는 아닌듯
8,영상기록 병원 24시의 감동 극대화 영화버젼쯤?
8,전체적으로 잘 만들었다고는 못하겠으나 울기는 엄청 울었다;
10,진짜목메이게눈물난영화
5,병원 24시 만큼 감동적이진 못하다.
10,나를 울고 웃게 만든 영화~
10,괜찮았음~~
10,good movie~!
3,재미없었음
10,정말가슴따듯해지는영화 ㅠㅠ
9,영화의 노골적인 의도대로 눈물 글썽였다.
6,슬프다고 안했으면 재밌게 봤을 것을.....
10,진짱 감동 먹었엉~~
9,옥동자(욱이)시키가 죽다니,,,
9,울지 않았음-1 감동 +10
1,3류영화다--;;
10,무지슬프다..
10,어른보다 놀라운 아이들의 연기력!
1,안울었어 대체 어디서울란말이냐 ㅡㅡ
10,옥동자야~앞으로도 좋은일 많이하고 살아라~
6,기대했던만큼은 보여줬던 영화..
8,슬퍼서 눈물이 나면서도 한편에선 따뜻해지는 영화
7,먼가 특별함이 부족..;;;;
9,괜찮음.. 하지만 말아톤을 따를순..
8,가족의 소중함......
10,이거보고 울었어요 ㅜㅜ 욱아~ 넘 슬퍼요 ..
8,꼬마들 보여주세요..
9,따뜻한 영화 .... 잼나고.....
7,뭔ㄱㅏ아쉬운.....
7,감동적이다 그래ㅑ더
3,아..뭔가 식상하네
10,정말 멋진 영화인것 같네요. 배종옥씨으ㅣ 연기가 돋보입니다
3,어디서 울까..?
7,쬐끔 울엇어요 근데 빠진 느낌
6,난 하나도 안슬펐다
7,예상가능한 그저그런 허술한 구성, 그래도 감정은 어쩔 수 없네
8,작품의 내용은 좋았지만, 너무 눈물에 치우친 것 같다.
10,재밌었음ㅋㅋㅋㅋㅋㅋ
10,아역배우들의 연기..그리고 감동적인 영화
9,아들 둘 낳아보고 싶은 생각 첨으로 들었습니다..^^*
9,옥동자가 이렇게 멋져보일줄은 몰랐다~~!
7,박지빈은 좀 영악해서 징그럽다..작품은 괜찮았음.
10,마지막에 욱이가 '안녕,형아...안녕'했을때 넘 슬펐음. ㅠ.ㅠ
10,흔할수 있는 이야기를 동화처럼 그려낸 영화..
6,정말 많이 봐왔던 이야기라 이젠 감성이 무뎌진걸까.. 글쎄
10,애들이 연기를 잘함.
8,내가 자식이 있었으면 정말 슬프게 봤을것 같다.
10,너~무 재밌게 봤어요~!^*^
10,너무감동적임박지빈연기를너무잘했3근데똥을너무강요한듯한...
1,감동과 전율보다는 눈물에만 신경쓰는 한국영화들중 하나
9,엉엉 울었다, 그냥 편안하게 마음 가지고 보면 괜찮은 영화
8,감동적이지만 무언가 하나 빠졌다.
10,정말 감동적이고 슬픈 영화!
10,평점 1점 준 전문가야. 당신은 세상을 삐뚤어진 눈으로 보는듯
10,정말 이영화보고 넘 마니 우렀어요..
10,정말 감동.....전 보면서 눈물까지.....
10,감동적이고 좋은 영화네요..
4,도대체 뭐가 슬프다는 건지,, 억지로 울리려는 의도가 보임
10,동막골 같은 잔잔한 판타지적인 느낌의 영화... 정말좋아!ㅎ;
10,마음이..아프네요 감동적이구..
9,좋은 영화입니다
10,정말 슬퍼요ㅠㅠ좋아요오랜만에감동!!(실화)
10,최고최고!!!
8,꼬맹이가 연기를 아주 잘하네요~
9,빠져들었다. 억지로 짜내지 않는데  눈물이 마르지 않는다
10,슬플에서 희망을 찾는 영화...
6,애가 너무 막무가내라서 감동보단 거슬렸다
10,감동먹렀어여,,,ㅠㅠ
10,감동적인 영화네요^^~
10,감동해서 울었어요....ㅠ.ㅠ.
10,연기 굿.. 얼굴만 믿고 설치는 애들 쪽팔린줄 알아라..!
8,누군가 죽는다는건.....참 가슴이 답답한일이다.
10,실화를 바탕으로 만들어졌다는데, 식상한 소재는 얼어죽을 - - .
8,귀엽다*_* 연기 잘하던데~? 타잔아저씨 날아올때 정말 웃겨ㅋㅋ
10,정말 감동.....전 보면서 눈물까지.....
8,감동을 유발시키는 전형적인 영화지만 그래도 좋다.
8,안녕, 형아...만날때 인사일까 헤어질때 인사일까..둘다
10,찐한 가족애를 봅니다. 소아암에 투병하는
3,뻔한 스토리전개... 강요된 슬픔
10,감동졌이당
10,감동..
7,감정의기복이다양한것좋았지만, 너무어린이를의식한게조금은흠
10,재미있으면서도 슬픈영화였다
10,그들의 시각이었지만 충분이 공감할수있었던.. 영화
10,너무 슬프고 감동적인 영화 였다.
10,정말로 슬픈 영화였다..  ^^*
10,기대 안하고 봤는데 처음 부터 끝까지 울게 했던 영화
10,난정말 기대하고 보았다."아픈데대답해야해"말에 펑펑울었다
5,영화보다는 드라마로 제작되었으면 아주좋았을 영화.
4,지빈이 영기력은 짱이지만..-_-졸라 재미없더라.. 안슬퍼 젠장..
6,포커스를 잘못 맞춘 영화..
8,감동이 밀려오지만.. 눈물은 안나오는.. 하여튼 연기력 탄탄
10,너무 슬프다가도 마지막에 미소 지을수 있는..행복한 영화..ㅠ
10,안녕 형아 실화라고.. 극중 한별이 .. 정말 불쌍해요 ㅠ
10,너무 감동적이 엿어,,,ㅠ
3,생뚱한 애가 죽네...?
5,울리려고 만든 영화 하지만 울지  못하는
10,가슴이찡하고 감동적인 영화에요...
