심슨 가족, 더 무비
10,심슨은 단연 최고. 내 인생 애니메이션. 영화는 대사 다 외움!
10,역시 심슨...최고다....
7,위트와 풍자는 더무비에도 적당히.
10,그냥 재밌었다..너무공감됬고
10,추억의 심슨...역시 실망시키지 않는다
10,꿀잼입니당(10자ㅏ)
10,극장판 애니중에 젤 잼난거같아요  볼때마다 잼있어요  사회비판적인 내용도 있고  거기에 심슨 특유의 유머가 더해져서 좋은거같아요~
7,가히 패러디의 신이라 불릴 만 하다
8,잔잔한 블랙코미디와 따뜻한 가족애를 느낄수 있는 애니메이션 그리고  내가 지금껏 본 애니메이션 중 최고 의 함편 특히 결혼 비디오를 보고 호머가 가족을 찾아가는 장면이 가장 인상에 깊었다
10,ㅋㅋㅋ 진짜 8년이 지나도 호머 OO는 아직도 잊혀지지 않는다ㅋㅋㅋ
10,오프닝부터가 남다른 심슨  영화 제발 더    더   더   만들어주세요
7,처음부터 끝까지 깨알같은 잔재미들이 많아서 계속해서 즐길수 있는 영화. 가볍게 보기엔 딱 좋은듯.
10,심슨이 언제 실망시킨적 있습니까?
9,한마디로 존잼. 그냥 심슨이 좋아
9,재밌졍심슨사랑심슨심슨
9,패러디 에니메이션 중 최고 시리즈.. 영화도 훌륭합니다.
10,내가 제일 좋아하는 애니메이션~
10,미드 심슨보고 유머코드 안맞을까 걱정하는사람은 그냥 꼭보세요 이건 한국사람이 봐도 정말 재밌네요 이미 여러번 재탕해서봄 ㅎ
8,역시 심슨은 심슨이다. 별거 아니라도 중간에 한국어 간판 나오는데 피식했음.
10,넬슨이 ha ha 하는거 완전웃겼다
10,항상 유쾌하게 그게 모토야
8,담백하면서도 거칠고 감동과 웃음 통쾌함까지 선사해준다. 그러면서도 가볍다. 그래서 더 좋다.
7,유쾌하게 즐길 수 있는 영화
10,올해 웃을거 다 웃습니다  어쩌면 이렇게 웃기게 풍자가 가능한지 제작진에게 찬사를
10,심슨너무겨워. 오래오래 장수하시요
10,유쾌한 심슨가족 영화로 나와도 탄탄한 캐릭터의 개성을 잘살려 만족을 이끌어냄
7,기존의 심슨 시리즈에선 존재하지 않던 저질스런 몸개그 억지개그가 자주 나온다는게 단점이지만 재미는 충분했다.
10,왠지 결말 어정쩡하고 사건 발단도 이상할줄 알았는데 꽤 타당하고 재밌네요ㅋㅋ 유명한 짤들 여기서 다 나오네 꿀잼입니다 강추ㅋㅋ 근데 12세는 아닌거가틈
10,최고 중의최고 애니메이션. 굿굿!!! 심슨.. 기대를 저버리지 않군용
10,진짜 더무비2로 다시한번 나온다면 소원이없겠다
8,미래의 자식이 커야지 어리면 이 만화 보기 좀 그렇지
10,역시 심슨 역시 미국 wjdakdrkd
9,보면서 당황한 순간도 있지만 웃음으로 넘기는 게 심슨의 매력이고, 리액션이 커서 정말 재밌다 ㅋ
7,tv판의 확장판, 원래의 시리즈를 그대로 영화에 넣었다. 초반 시리즈물을 약간 비튼 부분부터 심슨팬으로써 재미있었는데, 영화로 각색하는 것 치고는 기둥이 되는 줄거리가 너무 아쉽다. 결국 후반부에는 'tv보다 방영시간이 긴 심슨'
10,더 심슨~~~~ㅋㅋㅋ
10,The Simpsons is the best movie EVER
10,한편만 더 영화로 만듭시다 제발~
8,역시 심슨이야 재밌네 재밌어
10,역시 심슨! 정말정말 재밌어요 ㅎㅎ
10,when~the moon hits your eye like abig pizza pie, tha's amore~~~
10,고1때 첫사랑이랑 봤었다. 진짜좋아했는데. 우리가 엄청 재밌다고 그러면서 나왔던 기억이 난다. 생각나서 혼자 한번더봤어. 너도혹시 한번 더보고 리뷰보러오지않을까해서 써봄 ^_ㅜ흐귴ㅋㅋㅋ
10,2천번째의 영광 ㅋㅋㅋ
10,TV판 보다는 좀 덜하다만 그래도 역시 심슨
9,메시지는 많다. 그것을 찾는 것은 당신의 몫
1,최악이었음 스토리가 뻔한스토리임
10,진짜 예측할수없는 재미,그중에 빠지지않는 감동근데 아쉬운게 가족이나 연인끼리 보면 약간 어색할수있다는것뿐.혼자보면 진짜 꿀잼
9,재밋는데 좀 아쉽네
10,내 작은 소망이 있다면, 미래의 자식이랑 같이 웃으며 볼 때까지 방영하기를...
7,패러디식 유머와 기가 막힌 사회적 풍자.
10,역시 심슨. 감탄사 밖에 안나온다.
8,좋아요.
9,역시 나름 볼만했네요 ㅋㅋ GTA 를 해마로 바꾸다니 ㅋㅋ
10,존나 웃겨용
7,나름 볼만햇다........
8,동양엔 짱구가족 서양엔 심슨가족 도저히 미워할수가 없는 악동들 세월이 아무리 지나도 여전한 심슨가족 제작진의 센스
10,정말 웃겨요!교훈도 있고. 정말 잘만든 코미디영화입니다
10,왜평점이8점대지?알바때문인가
9,ㅋㅋㅋㅋㅋ 웃기고 재밌고 ~
10,.
10,너무 재밌었구 ㅎㅎ 환경오염에 대한 지적도 좋았다~ 근데 오토바이 바퀴에 뭐 붙인것도 아닌데 막 돔타고 올라가는건 약간 에바..? ㅋ 머 만화니까 ㅋㅋㅋ
10,잼따
10,spider pig. spider pig. does whatever spider pig does.
10,내가 본 최고의 애니매이션
10,또 무비 나왔으면!!ㅠㅠㅠ너무 좋다ㅠㅠ내사랑심슨!!최고!!!forever!!!simpson!!
10,ㅁ
7,미국문화를 잘 알면 더 재밌는듯ㅋ 컬트적인 요소가 재밌었고 킬링타임으로 볼만하다ㅎ
9,하나도안웃기다고?니들이미국식유머를몰라서하는말이다. 오역많은엉터리한글자막이나보니깐재미가없지.
5,난 하나도안웃겼음..; 그래도 좋은 애니인건 맞긴 하다..
8,어렸을 때 봤을 때는 마냥 이상하고 머리 아팠는데 다시 보니깐 볼 만하다. 괜찮다. 심슨가족을 위한 영화다!
9,웃기긴함....
8,정말 웃기고 재미있닼 ㅋㅋ 근데 tv랑 차이점을 못느껴서..'심슨 가족'한테 tv와 다른 무엇을 바라면 무리인가??;;
10,재밋다ㅠㅠㅠ큐ㅠㅠㅠ
10,많이재미있다.
10,2가 없는게 아쉬운..
10,내 인생 최고의 영화였음.
9,FUC# U할때 멈춘게 제일 잼있었다
10,이젠 너무 익숙해져버린 심슨.. 극장판 또 나왔으면 좋겠다
10,역시 심슨!
10,역시나 심슨 잼있어 꿋~~~!!^^~~~~.!^^
10,역시 심슨  말이필요없지~~
7,패러디와 풍자로 가득하다
10,"충격과 공포다 그지깽깽아!"에서 미친듯이 웃었음ㅋㅋㅋㅋㅋㅋㅋ
10,다시보고 다시
10,심슨이 최고
10,에미상 25개는 아무나 받는 게 아니다.
10,재밌음..ㅋ 워낙 심슨팬이라..ㅋ
10,재밌음
10,십점만으로 부족하다 십점만으로 부족하다
10,십점만으로 부족하다
10,재밌삼 이제 마지막 시즌 나오고있는데 극장판 또안나오나?
10,후속안나오나
10,심슨을통해배운것,'아는만큼보인다.'세기의시리즈물 심슨의 영화화라는 기념비적 작품
10,심슨 시리즈 본적은 없는데 영화웃기더라ㅋㅋㅋㅋ풍자도재밌고 ㅋ
10,시리즈물에 OOO 않는 극장판의 위력! 역시심슨!
1,보다가 중간에 껏다 나랑 안맞는거같음
10,역시 심슨 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
10,그냥 계속 웃었다.ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
10,아 웃곀ㅋㅋㅋㅋㅋㅋ
10,아 개 욱겨 ㅋㅋㅋㅋㅋ
10,재밌자나~
7,TV판은 안봐서 심슨에 대한 감은 없는데... 적당히 볼만하네요
8,극장판 처럼 특별하면서도 tv판과 같은 편안함
10,재밌다~
10,심슨의 지존
10,심슨이 롱런할 수 있는 이유
10,w재밌어요!!!천재적인아이디어!!!
10,슬프기도하고ㅠ.ㅠ귀엽기도하고!
10,ㅋㅋㅋ오랜만에보니까 더 잼씀 ㅋㅋㅋㅋㅋㅋ호머심슨미워할수없어!!
10,ㅋㅋㅋㅋㅋㅋㅋ머리긁어댘ㅋ완전웃겨
10,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 짱!!!!!!
9,재밌어요 볼만하고.,.
9,정말재미써요ㅋ ㅋ ㅋ
10,정말 재밋겟봣어요 다른작품도 잇으면 좋겟건만..
9,전반부는 정말 재밌었다. 아쉬운 점은 마을주민들 비중이 작아서..
8,심슨가족 본연 그대로의 맛, 큰 스크린으로
10,너무 재밋섯서요 ㅋㅋ
10,TV시리즈 보다는 영화가 더 재밌었던듯...엠피에 심슨 1기부터 다 넣어다님 ㅋㅋㅋㅋ
10,다다다다다다다다다!!
10,진짜웃겼음ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
8,심슨 특유의 앞뒤없는 막무가내 웃음! ㅎㅎㅎㅋㅋㅋ
10,ㅋㅋㅋㅋㅋㅋ나 이거보고 진심 레알 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
7,심슨 가족만의 유머!
10,엔딩크리닛까지 잘봤습니다. 한국인들도 많이 참여했네요.
6,그냥 가볍ㄱㅔ볼수잇어서 조음ㅎㅎㅎ
10,내가젤루좋아하는만화가 바로 심슨인데 정말재미있음
10,역시 심슨가족... 이라는 말이 나오는 최고의 영화
8,정말 웃김 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
10,역시 심슨이다. ㅋ
8,아 호머심슨 때리고 싶다 ..ㅋㅋ
10,TV에서 공짜로 하는걸 극장에서 돈주고 보는 애들은 OO인것같아 특히 당신말이야ㅋ
10,호머바트마지리사매기심슨 만세 산타스리틀헬퍼 만세 스노우볼2 만세 심슨더무비
10,진심 개 재밌음ㅋㅋㅋㅋㅋ
10,ㅋㅋㅋㅋㅋㅋㅋㅋ
8,어이없네ㅋ
10,The Simpsons이라는 제목에 걸맞는 최고의 작품.
10,내인생에 영향을 준 영화~
10,맨 처음에 랄프~~ 존낸 귀여워~~ 깜찍한 랄프~~
10,그 많던 엔딩 자막이 겨우 이것 때문이야?
10,역시 심슨!!!
10,ㅋㅋ 재밋음
8,단편무비로서는 걸작!
10,기대를 저버리지 않는 심슨
10,ㅋ 그저 코미디가 웃겨서 좋아하는 녀석들..ㅉㅉ
7,심슨만의 독특한 구성 역시 매력있다.
10,미워도 미워할수없는 노란 사람들
10,넘잼있음
9,심슨 너무 잼있어!!
10,심슨 제발 다시 개봉좀 ㅠㅠㅠㅠ
10,심슨 영화 한번더 개봉하면 내가 진짜 영화관에서 볼거다
10,굿
8,Doh!
10,내가 본 최고의 애니 영화!!!!
10,우와 진짜 사랑합니다 심슨 ..
10,정말 심슨의 개그센스는 최고 ㅋㅋㅋㅋㅋ
7,도덕책을 대신 할 영화.
10,최고
8,평균 이상
10,재밌다!!
10,대박 웃곀ㅋㅋㅋㅋㅋㅋㅋ 심슨너무좋아 ㅋㅋㅋ
10,심슨은 언제나 최고임. 극장판 더 나왔으면 좋겠다. 평점이 8점대라니.. 앙대!
10,재밌다!!
10,말이 필요 없음!
10,결국 호머는 스프링필드를 배신하지 않네
1,전 별로;;보다 말았다는..암튼 영화는 정말 보는 사람 맘인 듯
10,내 사랑 심슨! 뭘 하든 응원하겠어.
10,스파이더픽~ 스파이더픽~ ㅋㅋ스키장가는길에보고 가서내내 이노래불렀던기억이
10,Simpson family rocks
10,역시 심슨 가족ㅋㅋㅋㅋㅋ 보는내내 정말 재밌었어요ㅋㅋㅋ
10,정겨운 심슨 코미디~ 재미있습니다~
10,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 심슨 광팬
9,완전웃겨 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
7,ㅋㅋㅋㅋㅋㅋㅋ심슨가족은 처음보는데 재미있네요
10,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
10,기꺼이 내던져지고픈 난리부르스!
10,진짜 재밌게봤어요ㅋㅋ
7,패러디와 능청맞은 재치의 고수!
10,라;ㅇ
10,심슨다움
10,마지와의 로맨스 감동까지 ㅠ 심슨 아이러브유 D'oh!!!
10,대박 재밌음 ㅋㅋㅋㅋ
10,최고임 ㅋㅋㅋ
7,볼때마다 너무 웃겨ㅋㅋㅋ
10,갠찮네 ㅎㅎ
10,아 역시나 웃기다!! 너무 웃겨!! 재밌다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
10,재밌어
9,최고다 정말   dl
8,ㅋㅋㅋㅋ 재밌었는데 기존 내용보다는 뭔가 교훈적이었던 ㅋ
10,와
10,어떡게 심슨을 사랑하지 않을 수 있을까? 정말 최고다.
10,ㅋㅋㅋㅋㅋ 이래서 내가 심슨을 사랑한다고♥ 여러번 봐도 재밋어요^0^
9,길이를 늘여도 늘어지지 않는 잔재미
10,최고임ㅋㅋㅋㅋ
10,따로말이필요한가??
10,20여년을 사랑 받아온 가족의 첫 극장 애니메이션을 사랑하지 못할 이유가 있겠는가
9,심슨가족은 항상 내 머리위에서 논다
9,난 재밌던데...ㅋㅋ심슨이 좀 킹왕짱이죠...내가 초딩으로 돌아가는느낌..ㅋ
8,중반부터 쳐지는감은있지만 심슨특유의 생기가 살아있다
10,미안, 심슨만은 어떤 판단도 할수없이 10점을 줄수밖에 없어
8,심슨은 정말 매력있다.
9,역시심슨임ㅋㅋㅋㅋ
8,티비판의 유머는 100% 그대로 담겨져 있지만, 내용 전개는 좀 산만.
10,티비판의 빅재미 그대로, 극장판으로 한바탕 웃으며 놀자!
10,너무너무 재미있었다.
8,정서에 맞지 않는 코드도 있으나 애니로 볼수 있는 무한재미. 단 어른용이라는 거..
8,웃음 팡! 그러나 주의할 사항! 아이들에게는 보여주지 말 것!을 당부합니다! ^0^
10,이게 바로 명작 애니다
10,이리 치이고 저리 치이는 바트, <모던 타임스>의 '찰리 채플린'만큼 불쌍함 ㅠ.ㅠ
8,유쾌한 풍자.. 알고 볼수록 더 재미있다..
10,아주 좋습니다.
7,심슨치고는 다소 떨어지는??
9,유머러스!! 웃기네 ㅋㅋㅋ
8,완전 웃김
10,랄프 맨 처음에 너무 웃김ㅋㅋㅋ 따따따따 따따따따 따따따따 따따따딴
10,굳좝
10,이거뭐그냥대박ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
10,케케케  이거 뭐 노란얼굴사람이뜻인가?
10,역시 심슨입니덩.ㅋ
10,역시 심슨이야 ㅋ
10,존나 재미있엌ㅋㅋㅋㅋ
10,그냥 닥치고 재밌음
10,재밌어 ㅋ
8,웃음 계속 나는 코미디. 가족과 보기엔 좀 껄끄러움. 화기애애하기만 한 영화는 아님.
10,모르시는분들도 계시겟지만 사실 심슨가족은 성인영화입니다
8,역시 심슨가족! 보는내내 지루하지도않고 재미있었던영화 강추!
10,호머 심슨 늪에빠져서 OO날릴때 대박 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
5,tv판이 더 재밌는듯 극장판이라고 하기엔 좀 부족한듯 보인다.
10,단편무비로써는 걸작
10,처음부터끝까지 재미없는부분 하나도없고 사회풍자하는내용 암튼 강추!
8,심슨은 미국이라기 보단 유럽에 가깝다. 제러미 리프킨의 유러피언 드림~
10,대박 ㅋㅋ 왜 미국에서 오래된 만화인줄 알게됨 ㅋㅋ
10,말이 더 필요한가? 으잌.
10,사진도 퍼거요
9,중간 중간에 대사들이 재밌네요. 후반부에 특히나..
10,완전 재밌음.(미국판 짱구)
10,진짜 재밌음...ㅋㅋ어떻게 애니메이션으로 저렇게까지표현할수있을까..감탄의연속ㅋㅋ
9,엄청재밌씀,,, 근데 야한부분조금나와서 아쉽,,, 원래 성인물 아닌감??
10,재미씀 엄청
5,생각보다 별로였음
10,도저히 삭제할수없는 ㅎ;;
10,재미있음 장땡
10,재밌잖아요? 그럼 된거 아님?
10,ㅋㅋㅋ존나웃김
7,무난히 볼만은 하지만 억지 웃음 유발하려하는것 같은느낌이 ;;
10,진짜 재밌음!!! 원래 심슨 되게 좋아하는데 극장판도 재밌네요!!! 또보고싶어요~!!
10,재미있는 만화속에 사회에대한 비판들이 자연스럽게 있어서 많은것을 생각하게 해준다
4,미국판 짱구
10,14번 웃었네.... 재미있다.
10,대빅
9,심슨가족 그냥 너무 웃기고 너무 좋다
3,정신 놓고 보기에 좋은듯... 난 하나도 재미있는지 모르겠다.ㅡㅡ 중간에 껐다.
10,너무옷겨서 뒤로 자빠질뻔
10,아 역시 심슨골때려ㅋㅋㅋㅋ
10,역시 심슨의 매력은 만화가 끝난후에 진지한 생각을 가져오게하는 내용이다 무도처럼
10,정말로 보는 내내 웃었다.
9,그림체가 비호감이나, 야밤에 배꼽 빠지는 줄 알았다.
10,ㅋㅋㅋ완전 재밌닼ㅋㅋㅋㅋㅋ
10,짱 재밌음!
10,심슨이 개썰매 탈때 진짜 웃다가 죽을뻔했다ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
10,좋아
8,아무거나 막까는 심슨 컨셉자체가 싫지만 센스있는 코미디작품이란건 인정할수밖에;;
6,tv판이 더 나은듯...
10,진짜 웃겨 ㅋㅋㅋㅋㅋㅋㅋㅋ
10,진짜 재밌음 안보신분들 진짜 강추!!!!!! 마지막엔 감동도 있음~ㅋ
5,이것보다 재밌는 심슨에피가 수백개는 될듯.
9,역시  실망시키지  않아 ㅋㅋㅋㅋㅋ
10,ㅋㅋㅋ빅재미의나락
10,톰행크스도나와 ㅋㅋㅋㅋ
10,역시재밌는 심슨 ㅋㅋ
10,더 심슨!! ㅋㅋ 개그가 식상하지않고 재밌음 -2007or2008/?/?-H
8,생각하게 하는 코미디. 유쾌하다.
8,너무 귀엽고 앙증맞은 영화같음 ㅋㅋ
10,보~~~~우링~~~아우취~이게 젤 웃김..ㅋㅋ초반부터 빵빵 터지네요 그린데이ㅋㅋㅋ
10,심슨 최고다 말이 필요없다 별5개 ㅋㅋㅋ
10,개그는 이렇게 하는 것이다!!!
8,제가 미국식 개그(?)의 이해가 느린 건지 뭔가 빠른 감이 있네요ㅠ 무튼 재밌었어요 !
10,처음부터끝까지 웃었다
10,심슨 최고!
10,아욱 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 빵터져 ㅋㅋㅋ 역시심슨!!!!
10,우리나라 사람들은 곳곳에 숨어있는 웃음을 못 찾고 미국살다온 내 친구 혼자 웃음..
10,웃음이 끊이지 않은다
10,말이 필요 없다..웃음이 사그라질라고 하면 빵 터트리고..진짜 최고~ㅋㅋ
10,웃기는 걸로 치자면 이게 지존이다
10,좁내웃겨ㅋㅋOO하는거랑 할아버지 브레이크댄스ㅋㅋㅋㅋㅋㅋ
10,정말재미있다역시심슨 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
10,이게 무슨 미국식유머냐 ㅡㅡ 이건 심슨식유머다
10,최고다 최고!! ㅋㅋ 역시 영화보단 애니다!!
10,심슨가족더무비ㅋㅋ보다가 죽는줄ㅋㅋ참고로 심슨가족매니아ㅋ
10,미국가서 심슨보고 살고싶다..
8,미워 할수 없는 사람들~
7,유쾌엽기발랄~심슨가족!!
10,역시 심슨!
10,졸라 재밌음 봐도봐도 재밌음 개쩖
10,짜잉야
10,심슨더 무비에서 "텍사스사투리영어회화강습"이라고써져있음
10,역시 심슨즈~
1,TV판이랑 뭔가 이질감이 느껴짐 ... TV판이 더 재밌음
10,완전 웃김!!!
10,웃기다
9,도데체 심슨네가족의 이야깃거리는 언제 다떨어질까 ;;;;
8,친구들과 배를 부여잡고 미친듯이 웃었다.
10,호머에게 박수를. 앞으로도 변함없기를 기원하며
10,쵝오!
10,오오 진자웃긴 심슨가족더무비 역시 실망을 안시킨다니까
7,이런.. TV시리즈 심슨보기전엔 엄청웃겼는데, 기대이하다 ㅠㅠ
10,심슨이랑 랄프 짱귀엽다ㅋㅋ
7,유머와 풍자, 그속에 녹아있는 지극히 미국적인 정서를 알고 싶다면 심슨을 보라~
9,완전 짱임 후회없어여 한번만 보면 명장면 바로바로 생각남
9,진짜 웃긴 코미디~ㅋㅋ심슨코미디의 진수
10,완전재미있어요 신고~
10,난 한 11시 쯤에 매일 심슨 봐요 짱이에요
10,아 진짜 완전 웃겨죽는줄 알았어 푸헷헷~
10,애니메이션 보고 소리내어 웃어보긴 처음이다!!
10,이 재밌는 영화는 10돼야지
10,심슨가족 치고는 좀 기대이하...그래도 영화는 재미있다 ㅋㅋ심슨 팬으로서 아쉬운..
10,good
7,비판, 풍자, 패러디의 절묘한 조합 놀라지 않을 수 없다.
10,심슨 가족 진짜 웃겨요. the Simpsons~Movie On the Big Screen~
10,이거 재밌음
10,good
10,엘 고어의 '불편한 진실' 을배경으로한 코미디지만 설등력 있는영화.
10,심슨가족 화이팅!!♥
10,우왕 굳ㅋ
10,미국에서도 즐거봤던 6시 내 심슨 ㅋㅋ 영화도 잼있다!!!
10,심슨네 가족들 만세!!!!!! 난 일부분밖에 못봤지만, 모든부분이 재미있을거라 예상!!!
10,코미디는 역시 심슨이 짱인듯 !?마지막에 바이크로 돔 달려올라가는게 제일 재밌네요.
10,난망치질하다가사고난거하고알몸으로스케이트타는게너무웃겨요 ㅋㅋㅋ
10,심슨은 역시 통했다
9,유쾌한 블랙 코미디
10,오랜만에 보니까 너무 재미있네요.. ㅋㅋ
10,재미있어요~ 스파이더피그 ㅋㅋㅋㅋ
10,스파이더 피그 스파이더 피그 웃김 ㅋㅋ
10,볼만함
6,미국사회의 실랄한 풍자. 그러나 대안은 없고, 좋은문화마저 풍자하면 뭐가 남을까?
10,초잼있음!
9,난 심슨 좋아해서 진짜 재밌게봤음ㅋㅋㅋㅋ귀여운돼지ㅋㅋ
10,아진짜배아파
10,최고!!!!!!!!!!!!!!!!!!!!
10,잼있었다
9,안 그래도 심슨 팬이였느데 ㅋㅋ 재미있었다.
10,아 웃겨!!!!
9,너무 재미있게 봤던 기억이 ㅋㅋ
10,충격과 공포다 그지깽깽이들아
10,이렇게 웃기고 재미있는 ㅋㅋ 심슨가족 쵝오!
8,위트를 가미한 사회적 풍자.. 굳..!! 하지만 난 왜 웃음이 나오지 않는걸까...
10,언제나 기대를 저버리지 않는 심슨가족~~!!
7,능글스럽고, 유쾌한 가족의 조화가 돋보인다.
10,너무 재미있어여
10,정말 코믹의 진수를 보여주는 심슨의 대 명작이다!!!ㅋ
10,바트심슨 목소리 하나로도 난 좋다~
10,심슨의 엽기적인행동에 또한번반했다...ㅋㅋ
9,완전 코미디다...정말 부담없이 신나게 웃었다...ㅋㅋㅋ
10,와돼지오물통강가에버리는장면과버릴때이름써놓은것심슨12시30분에꼬박챙겨보는광팬임
10,5초마다 한번씩 웃긴다. 궁극의 풍자정신!
10,이파 이파 이파 끔찍한 일이 벌어지고있다.. 너한테도 너한테도 너한테도 일어날거야!
10,호머가 욕나오게 하지만 정말 재밌어요
10,난 진짜 이 가족들 너무좋다 ㅎㅎ 정말 최고라는 말밖에안나와 ㅋㅋ
10,웃음을 멈출수 없다
10,진짜 재밌어요ㅋㅋㅋ비행기안에서 모두들 다같이 웃었던ㅋㅋㅋㅋㅋㅋ
10,최고입니다.^^
10,ㅋ 역시 이 산만하고 뭔가 이상한 전개는 tv판에서 숙지해야지 ㅎ
10,유쾌상쾌통쾌ㅋㅋㅋㅋㅋㅋ심슨원래안좋아했는데, 완전사랑해♡짱재밌음.ㅋㅋ
