알로, 슈티
10,잔잔하니 너무나 좋았습니다. 아껴보려고 멈췄다가 다시 보고 그랬네요.
10,미타니 코기 영화보다 잼있음 프랑스 장진스타일 영화
10,
10,
10,‘이 동네에 오는 사람은 두번 울어요. 처음왔을때와 떠날때.’ 영화를 보면 이 말이 정확히 이해된다.
10,필립의 매력이 후반부로 갈수록 보이네요. 유쾌하고 행복한 영화였고 여자에게 지고 져주는 남편의 모습 보기 좋았어요
10,따뜻하고 재밌는 힐링영화
10,따뜻하고 재미있는 영화에요 ㅎㅎ
10,눈물나게 웃고 싶을때 강추억지 웃음 그리고 신파. 그런거 전혀 없는 청정웃음임
10,유치하지만 웃기고 기분 좋은 힐링영화에요!
10,너무 재밌고 감동적이에요. 마을사람들의 따뜻함과 순박함에 녹았어요.
10,초등학생 조카랑 같이 봤는데 쉴새없이 웃으며 봤음.
10,마음 속에 차곡차곡 쌓아둔 나만의 즐거운 영화들. 이 영화를 보면 행복해져요. 자꾸 엑! 하고 싶어지는 게 문제네요 ㅎㅎㅎ
8,깔깔대면서 폭소를 자아내는 영화는 아닙니다만 자극적이지 않고 잔잔한 재미가 있는 영화였어요. 앙투완 역의 배우분이 감독이였군요ㅎ 필모그래피 보니까 영화 대부분이 흥행했던데 찾아봐야 겠습니다. 프랑스 영화 특유의 재미와 감동이 있었어요. 잘봤습니다 :)
10,마음이 따뜻해지는 영화 북부로 가고 싶어지는 영화♥?
10,전개는 조금빠르게느껴지는데 진짜 고민하지말고 이영화꼭봐야됨 진짜 너무 힐링되고 초반에는 웃긴장면이 나오는데 가면갈수록 감동적임결론:꼭봐야하는 영화
10,
10,사랑스럽다 따뜻한 힐링♡
9,은근 꿀잼이네.
10,넘 재밌게 봤어요! 역시 대니 분♡
10,
9,혼자서 보는것보다 가족, 연인과 보는것을 추천..사랑하는 사람과 같이 보면 즐거움이 두 배!
10,따뜻해서 눈물나는 영화.
10,기대 이상의 영화 굳굳굳
10,전혀 긴장감 없이 만든 따뜻한 영화..
10,따뜻하고 힐링되는 영화에요!다시봐도 행복한 그런 영화~
10,프랑스식 유머 재밌고 감동적이었다.
10,한마디로 꿀잼이었다.
10,이게 바로 힐링영화지 .
10,유쾌한 프랑스 영화- 따뜻하네요:)
9,온기있는 어수선함 이었다
6,지극히 평범한 영화 ...아르옌 로번 출연
6,따지지 않고 보면 나름 유쾌하다.
10,속이 꽉 찬 100% 영화였다
7,사람 냄새나는 영화입니다. 소소한 웃음을 주네요 ㅋㅋ
10,잔잔하게 너무 재밌음 평점 9점대 받아도 손색이 없을정도임
10,감독이 직접 연기했다는데 너무 놀랬고이영화 보고 웃다가 배찢어질뻔했어요
10,엄청 웃었네요 연기찰짐
10,따뜻하고 진한 뱅쇼같은 영화
8,생각보다 꽤 재밌네 특히 필립이 속옷가게 앞에 서 있었을때 겁나 웃겼음 ㅋㅋㅋㅋ
10,소장가치 있는 영화. 무료로 봣는데 다시 돈주고 다운로드 받을 거에요
10,너무 좋아 이런 힐링 영화
10,리틀 미스 선샤인 이후로 가장 유쾌하고 따뜻한 영화. 자극적인 영화가 넘치는 요즘 보기 드문 영화! 강추 ^^
9,자극없고 따듯한 영화가 얼마나 이로운 지 알 수 있다.
9,카드 므라드  나오는 영화 연달아 두편봤는데 너무 재밌어요. 특히 이 영화랑 므라드랑 찰떡이예요. 예상보다 너무 재밌게 잘 봤어요ㅎㅎ
10,기대이상입니다. 꼭 보시기를!!
10,편견을 넘어보니 정직하고 따뜻하다. 情
10,보는내내 마음따듯해지는 유쾌한 영화입니다 :) 왜 프랑스인 중 1/3명이 봣다는지 알겠네요 ! 추천합니다
9,따뜻했어요... 유투브에서 우연히 소개영상 보고 다운받아봣는데 선물받은 느낌...
10,Inner  peace
10,내인생영화중 하나가 되었고 알게해준 남친에게 감사하다.웃겨서 배꼽잡고 뒹굴었고 감동적이어서 눈물한방울 흘리게 해주고 깊은 요동을 선물해준 영화
10,따듯하고 웃기고 간만에 정말 좋은 영화네요
10,왜 프랑스에서 초흥행했는지 알것같다~ 프랑스국민의 3분의 일이 봤다는 ... 초 힐링 무비 ~
9,인생의 따뜻함과 따스함
10,이런 잔잔한 영화 넘 좋다,,
10,가벼운 마음으로 봤지만 무겁게 돌아오는 따뜻함
10,영화를 보는 내내 입가에 미소를 머금고 ,가끔은 박장대소 하면서 본  행복한시간이었어요 ㆍ좋은  사람들에게  꼭 추천해주고 싶은  영화네요ㆍ
9,90년대 따뜻한 느낌이 난다
10,재밌게 잘 봤습니다. 숨겨진  보물이에요
10,별점 처음 주는데 진짜 괜찮게 본 영화내요ㅕ
10,이런 띵작이...! 너무 재밌고 훈훈하네요
9,꼭 프랑스사람이 아니더라도 느낄 수 있는 동질감
10,사람사는세상 이웃이 함께
10,이런 영화는 더 많은 상영관에서 볼 수 있었으면 좋겠어요. 이제야 봐서 아쉬우면서도 이제라도 봐서 다행이다 싶었어요.
10,엄청 재미있긴 한데.. 이탈리아 영화 Welcome To South(2010년 작) 과 구성이 완전히 똑같은데.. 리메이크영화인가요?
10,다음에 또 보고싶은 영화
10,추천꾹따뜻한 영화예요
10,Bravo, Our life
10,Remedy영화! 훈훈하고 재미있고 따뜻해지는!
10,슬퍼서가 아니라 행복해서 감동의 눈물을 흘렸어요ㅠㅠ
10,프랑스 국민의 3분의 2가 본 대작 재개봉해줘도 손색없다고 봅니다
10,소소하면서 인간미 넘치는 이런 영화들이 참 좋다
10,귀여운영화 또보고싶은
9,정말 무공해 영화가 맞다, 눈 귀 마음이 정화되는 영화 !! 유쾌하고 따뜻하다
9,북부와 남부에 대해서 알게되었네요  정말 따뜻한 영화  이런영화좋네요  프랑스사람들  정말 이럴까요?
9,사람 사는 건 동서양을 떠나 똑같다.. 사건과 등장인물들의 연기가 너무 사실적이라 내가 그곳 주민이 되어 저들과 대화할 수 있을 것 같은 일체감이 느껴짐..^^
10,프랑스 영화가 대체적으로 난해한 영화들이 많은데, 알로, 슈티는 진짜 좋았다. 보는 내내 행복.../
10,유쾌하고 즐거운 영화 프랑스를 사랑하게 되는 영화!
8,희안한게 프랑스 코미디는 우리랑 코드가 맞는 것 같다 의외로 미국 애니메이션의 코미디 요소들은 잘맞는데 코미디 영화는 좀 거리가 느껴질때가 많음. 프랑스가 더 어린아이 같고 깨알 같은 연출이 많아서 같다.
9,처음으로 평점매기게 만드는 영화
9,코믹한 연기와 잘 짜여진 스토리로 잼나게 봤어요~
10,유쾌하고 따뜻하다. 보고나면 마음이 훈훈해진다.
10,보는 내내 행복했다 사랑은 보이지가 않기 때문에 믿음이 마음이 얼마나 소중한 것인지 보여주는 영화!!
10,너무 좋은 영화네요 정말
10,무지 따뜻하고 섬세하게 잘 보았습니다. 대니분 감독님 연기도 좋으시고..^^ 굿뜨
9,힐링 영화란 바로 이런것...힐링 영화의 최고봉....
7,프랑스인이라면 훨씬 더 개그지게 볼 수 있는 영화.경상도,전라도 사투리에서오는 개그 코드를 외국인이 난 이해하기 어렵다.
9,유쾌하고 따듯한 프랑스 코메디.
10,보는내내 행복했어요 마지막쿠키영상도 꼭 챙겨보세요!
8,유머감 넘치는 전개가 몰입도를 높이는군
10,몇번을 봐도 재밌는 인생영화
2,한국 코미디에서도 익히 봐왔던 코드들
10,무리도 과장도 없이 즐거워지는 영화. 저런 상사랑 일한다면 얼마나 좋을까!
10,감동적이고 잔잔하면서도 보면서 자연스레 웃게되고 영화끝나고 나서 나도모르게 잔잔한 여운이 계속 남아 멍하니 있게되었다.
8,우선 유쾌한 영화입니다! 이탈리아 영화 '웰컴 투 사우스'의 프랑스 버전판이네요~ 유머코드는 프랑스 영화가 더 웃기고~ 배경이나 장소의 아름다움은 이탈리아 영화가 더 이쁜 것 같아요
10,완전 사랑스런 영화!!!! 끝나는게 너무 아쉽다... 소장님 떠나지마요~~영화가 끝나잖아요~~ㅠㅠ
9,재미있었습니다. 잊지 못할 거에요
1,프랑스는 장르를 불문하고 코드를 못잡겠다
10,힐링되는 영화 추천합니다
10,따뜻하다 영화가더길었으면 좋겠다
7,대니 분의 인정 넘치는 북부시골 체류기.
10,종소리 연주♡^^ 너무나 잘어울리며 여운이 남는영화입니다
1,이 정도 점수 받을 영화는 아니다ㅋ
10,잔잔한 감동도 있지만 중간중간 빵빵 터지는 영화입니다! ㅋㅋ
4,따듯하지않은 따듯한 영화.
10,보는 내내 흐뭇했습니다
8,초반엔 그럭저럭이고 후반에 재밌습니다.
10,기대 이상으로 재미있게 보았답니다.  슈티미 슈티미 슈티미ㅋㅋㅋ 우체국 직원들 너무 좋아요 :)
9,잔잔하고 편안하고 소소하게 터지는 웃음. 감동. 이런 영화가 좋아요.
10,재밌으면서 맘이 따뜻해지는 영화예여
9,과장이 없잖아 있는데 아무튼 재밌게 봤네요ㅎㅎㅎ 프랑스 영화 난해해서 별로 안 좋아했는데 이건 또 나름 매력있네요~
10,잔잔하고 소소한 하지만 행복한영화
4,도대체 뭐가 재미있고 따뜻하다는거냐? 프랑스 영화 다시는 안본다
10,너무 재밌고 따뜻해요. 티비에서 무료로 하길래 봤는데 너무너무너무너무좋았어요.
10,대니분과 카드 므라드가 같이 나오는 프랑스 영화는 일단 재밌음. 북프랑스 풍광이 아름다움. 갠적으로 재미는 이탈리아 버전인 웰컴투 사우스가 더 재밌었음.
9,웰컴투 사우스 랑 완전 똑같은데
8,그냥 프랑스 영화 같았다이 영화는 아마 한국어로 해도 일본어로해도 영어로해도 프랑스 영화일것같다
9,살짝 스며들면 자연스럽고 즐겁다
10,무난히 보기에 좋은 영화!
10,아.. 소소한데 되게 소소한데.. 10점 줄만큼 재미있다 뭐지..?
10,소박하지만 잔잔하게 감동~~넘나 재밌어요~~!
10,프랑스풍 따뜻함... 유머가 다 녹아있는 good movie!
9,이거 은근 재밌다. 가족이 모두 즐겁게 즐길만한 영화다.
10,마음 따뜻해지는 영화....
10,친구가좋아해요ㅎㅎㅎ
10,음악이 너무 좋고! 이렇게 재밌는 코미디영화가 있었다니.. 앙뜨완이 감독님이었다니...!!
9,아~~너무너무사랑스럽고귀여운영화임!!이런분위기스타일너~~무좋다!!끝나면미소짓게되는영화!!아~영화관에서안본게아쉽당
10,최고입니다 행복해요!!
10,ㅋㅋㅋㅋ진짜 최고 ㅋㅋㅋ 너무 웃김계속 깔깔거리고 등장인물들 모두 따뜻하고 사랑스러워요~~~~ 강추^.^
10,정말 재미습니다 ㅎㅎ ㅎ
10,진짜 별 기대 안하고 봤는데 웃음과 감동을 함께 주는 명품 영화 임당~ 특이 여기서 나오는 주인공 완전 연기 잘하는 거 같아요ㅎㅎ
10,따뜻하고 유머러스한 프랑스 영화
10,굿 초이스 꼭보아야합니다
9,기분 좋아지는,  가볍게 볼만한 코미디
10,정말 좋은 영화입니다재밌고 지루하지않고 소박하면서도 감동을주는 영화에요프랑스정서랑 은근 한국정서랑 비슷한 면이 많은 것 같아 더 몰입됐어요 꼭 보세요
7,유쾌한 프랑스 영화 프랑스어를 안다면 재미가 두배
8,재밌습니다. 감동적입니다.
9,너무 유쾌했던 프랑스영화 ㅎㅎ
9,프랑스 감성이 우리나라와 비슷하고 공감을 느낄수 있었다
9,심신이 정화되는 영화....
10,사랑스러운 영화!!!!
10,소소한 웃음 소소한 행복
10,참 좋은 영화네요. 오래오래 여운이 남는 영화..
10,가슴이따뜻해지는영화네요
7,행복한 삶이 무엇인지 생각해보게 되네요.  문화를 뛰어넘은 울림도 있었지만  문화적으로 더 친숙했다면 보다 많이 웃을 수 있었을 것 같아요.
9,프랑스 북부에 꼭 한번 가보고 싶게 만드는 영화.
6,잔잔한 영화.. 기대만큼은 아니지만.. 그래도 사람냄새나는 영화라.. 편안합니다
8,프랑스판 '황산벌'을 보는 느낌...시종읽한 스토리가 유쾌하게 전개돼서 가볍게 볼만하다
10,진짜 제대로 영화관가서 힐링하고 온 느낌.
7,가벼운 마음으로 보는 따뜻한 이야기
9,재밌게 봤습니다~ 간만에 힐링되는 영화네요!
10,이리저리 치이며 얼어 붙어가는 마음을 잠시나마 녹여 준 영화. 따뜻하다
8,기분좋게 야단스러움. 보고 나면 미소 자동 생성..
10,보는 내내 웃음을 멈출 수 없다!유쾌한 사람들의 행복한 이야기! 프랑스 영화 중에 웃음코드가 이렇게 잘 맞는 건 처음인 듯
10,딱 좋다. 적절히 감동도 있고 웃음도 있고, 보고 있음 맘이 즐거워지는 영화. Little Miss Sunshine과 같은 감동을 또 맛볼 줄이야.^^;
8,소장하고싶은영화, 유쾌하고 즐겁다
5,다시 보고싶은 영화네요
10,정말 재밌었어요ㅋㅋ  지루하구 평범하게 흘러가는  삶 속 안에 재미와  감동.!   그냥 평범 할수있는 삶을  기분좋은 감동과  케미를 주었던  영화 였던거 같아요 ㅎㅎ 굿굿 강추임니다 ㅎ
8,너무 많은 기대를 해서 일까!!!! 따뜻하고 좋은영화는 맞다 하지만 프랑스의 정서와 지역을 이해하기에는 조금 이질감이.. 특히 사투리로 이야기 할때의 장면은 프랑스를 제외한 다른나라사람들에겐 그저 소음일뿐^^:
9,재미와 유쾌함을 주는  좋은 영화!
9,프랑스 시골의  소박한 모습과 함께 의외로 자주 터지는 웃음포인트까지!
6,글쎄.. 그냥 경쾌하게가볍게 보기엔좋다.
6,웃음코드가 좀 다른 듯...
10,대니분 영화는 모두 재밌다.
8,시종일관 소소한 유머가 돋보이는 영화입니다. 프랑스어를 할 수 있으신 분들은 더 재미있게 보실 수 있을거같아요!
9,파드칼레주 가보기는 제 버킷리스트가 되었습니다^^
10,웃기고 소박하고 재미있는 영화였다.
9,왜 프랑스 국민영화가 되었는지 알 수 있었다. 보는 내내 따뜻하고 재미있었다
10,올해본 영화중 최고네요
10,정말 좋아요~!!!%^>$?<<
8,유쾌한 분위기가 참 좋았어요
10,너무 좋은 영화~~보는내내 행복하고 재밌어서 진짜 할리우드 영화하고는 다르구나라는 생각을 했다~
10,소소하고 따뜻한 영화.  그리고 유머 !
10,예쁜 힐링영화. 잠시나마 현실을 잊고 여행한기분.
10,기대하지 않고 친구와 봤는데, 이번년도 들어 본 영화 중 최고였다고 생각했네요. 보고있으면 행복해지는 영화 입니다. 추천합니다.
10,정말 좋았습니다. 마음이 따뜻해지는 영화네요
8,잔잔한 미소늘 띠게 하는 영화
10,구구구숙구수수굿구숫수수좋어요
8,보고나니 기분이 가벼워지네요
9,평범한 일상의 소중함. 아기자기한 스토리^^
9,별거 아닌 소소한 소재로 이렇게 억지 웃음 없이 따뜻하고 훈훈한 영화를 만들었다는 게 참 좋은 것 같음. 우체국장님부터 등장인물들 하나하나 다 사랑스러움!
9,정말 유쾌한 프랑스 영화!상영관이 적은게 너무 안타깝네요 ㅠㅜ우리나라에서 꾀 흥행했던 언터쳐블에 견주어도절대 OOO 않는 영화인데 말이죠 ㅠㅡㄴ
9,처음엔 만들어진 웃음에서 나중엔 인상깊은 미소로...
8,따뜻한 사람들을 중심으로 배려심을 볼 수 있는 영화
10,너무 웃기고 따듯한 영화입니다
4,그냥 그저 그런 영화였다.앙투완이 아나벨에게 해준 프로포즈 이벤트가 가장 인상깊었다.초승달 아래에서 울려퍼지는 카리용의 선율과 사랑의 고백은 너무도 절묘하게 아름다웠다.
8,훈훈하고 잔잔한 재미를 주는 영화입니다^^
8,귀엽고 깜찍함 다큰아저씨가귀여워보임ㅋㄱ
10,잔잔하고 자연스러운엔딩억지스럽지않은 코믹정말 만족했어요그 이웃에 살고싶어요추천해요!엔딩크레딧에서 NG장면 나오니 참고하시길
8,히히마음따뜻한  빌루트가 나도 있었으면 좋겠다.캬...!
10,예고편을 보고 기대한 그 느낌 그대로
10,최고최고최고최고최고
10,프랑스 사람들이 왜 프랑스 코미디를 좋아하는지 알게 되었다. 우리나라와 전혀다른 잔잔한 코미디. 억지웃음과 억지 감동이 없는 마음 편안한 영화
9,지루할 틈없이 감동과 재미를 맛 볼 수 있는 영화!!
10,사랑스러운영화  포스터보고 별로재미없을거란 생각이였는데 이 영화를 보고나면 나오는 인물하나하나 사랑에빠질수밖에없다 소박한 재미를 잘 살린 영화
7,비록 내용은 시작부터 끝까지 다 예상이 되는 평범한 영화지만 보는내내 웃으면서 재밌게 봤어요:)
8,오랜만에 보는 잔잔한 감동과 웃음을 선사한 영화였네요.
10,아 이런 따뜻한 영화 너무 좋아오
8,재밌게봤어요.따뜻한 느낌의 영화에요.
10,넘 웃기고 재미나요!! 보는 내내 배꼽빠지는 줄 알았어요^^ 간만에 엄청 웃었내요!!  코믹 영화 보실 분 완전 추천이요!!  배우들 연기도 끝내줘요~~~
9,은근 계속 웃으며 봤어요. 적절한 유머와 재미있는 소토리. 눈물도 찔끔. 재미있어요. 몰랑몰랑.
10,담백하고 유쾌한 힐링영화
9,마음이 훈훈해지는 영화. 거기에 프랑스식 유머가 곁들여짐!
9,C'est g?nial~j'adore ce film!!!영화 너무 좋아요^^마음이 바쁘고 메마른 일상에 지쳤다면 웃으면서 치유될 수 있는 좋은 영화예요.  사랑하는 연인과 친구와 함께 보면 더 좋을 것 같아요^^
9,프랑스식 유쾌하고 따뜻한 가족 드라마
10,진짜 재밋었어요!불어를 할 줄 아시는 분이시라면 더욱 흥미있게 보실 수 있으실거에요!!
8,귀엽고 사랑스러운 영화 !내용은 다소 뻔하지만 미소짓게 만드는 따스함이 있다
9,마음이 따뜻해지는 좋은 영화
10,보는내내  행복했습니다 잔잔하지만 따뜻한영화네요
9,따뜻하면서 유쾌하네요생각했던것 보다 괜찮아요멋진 풍경들이 많이 나올줄 알았는데고건 아니네요^^ 만족합니다
8,장애인인 척 하는 장면 너무 웃겼어요! 그리고 슈티에서 마을 사람들 동원해서 최악의 마을인 것처럼 연기하는 장면도!! ㅋㅋ 프랑스 코미디 영화 특유의 재미!!
10,잔잔한 감동이 있는 영화네요..진짜 가치가 무엇인지 돌아보게 되는 영화. 재밌게 잘봤습니다!
9,재밌다는 평을 많이보고 기대해서 그런지 초반에는 그럭저럭이었는데 어느샌가 몰입해서 끝까지 정말재밌게봤어요^~^
8,나올때 우는건 주인공만이 아니었다뭉클하고 훈훈하고 따뜻했던 영화!
8,따뜻한 웃음과 편견에 대한 일침.우리가 잃어버린 것을 보여주는 베르그라는 동네.
10,너무너무 재밌어요~ 오랜만에 이렇게 웃어본적 처음이에요~ 강추입니다
6,평점높아서기대했는데별로에요프랑스문화이해가있어야하나봐여사투리나 지역감정같은거알아어재밌나..
10,어렵지 않은 유쾌한 프랑스 영화!
8,잔잔한 유머와 휴머니즘이 느껴지는 영화~
9,잔잔하게  흐뭇한 영화였다
10,영화에 취했네요. 사람냄새나는 영화.
10,기분전환되는 유쾌한 영화
8,슬며시 입꼬리가 올라간다.
10,프랑스영화 재밌네요 ㅎㅎㅎ
10,정말 따듯한 영화..!
10,편하고 기분좋은 영화:)
9,지역의 경치가 부족한 흠이 있으나, 즐거운 코믹과 인간적인 감동이 어우러진 멋진 영화였습니다
7,유쾌하고 착한 영화 덕분에 기분 좋은 하루를 보냈네요
7,잔잔하게 재밌긴 한데 빵빵 터지진 않음. 프랑스영화 처음 보는 사람이 보기엔 지루하다 함. 개인적으로 나쁘진 않았지만 남에게 추천할 정도는 아님. 기대 없이 보면 괜찮음
4,캐릭터가 덜 두드러지는 영화였던거 같아요
6,기냥저냥기냥저냥ㅇㅇ
7,슈티미가 뭔지 사실 모르겠다
10,굿굿. 프랑스영화를 늦은시간에 사람들과 하하호호 웃으며 봐서 좋음. 그걸로 충분
10,사랑하기때문에 일어난 따뜻하고 신나는 이야기
10,정말 추천추천 완추천하는 영화예요 엔딩크레딧까지 강추합니다
10,과하지도 모자르지도 않은 적절하게 재밌는 영화였습니다.  술취하는 장면과 폐광마을 씬은 웃겨 서  쓰러질뻔 ㅋㅋㅋ
10,너무재밌어요 필름포럼분위기랑 영화 분위기랑두 잘어울리고 ! 추천합니다~
10,가슴 따듯해지는 영화. 너무 잼있었어요..이런영화가 많이 한국에서개봉했으면좋겟네요.
7,베르그 관광청?에서 찍었나 했지만 진짜 오랜만에맑은 코미디를 봤다. 썰렁개그 좋아하시는 40대 이상분들이 보시면 더욱 재밌게 보실 듯!
8,소소한게 재밌네요 추천
10,따뜻한 기분이 하루종일 지속되었네요.
7,딱히 힐링되지는 않았고 평범한 영화였다
10,정말 유쾌하고 힐링되는 영화였습니다!! 개봉관이 적은게 너무 안타깝네요 ㅠㅠ
6,본격 베르그 관광 홍보 영상ㅋㅋㅋ
7,재미있게 봤습니다  소개영상말고  빠앙터지는웃음 좋았음
9,극적인 사건이 없어도 이렇게 흥미진진 할 수 있다니!
8,너무나 일상적이라 너무 조용해서 조금 졸았네요ㅜ
10,마음따뜻해지는 힐링영화. 당신은 안녕하신가요? 행복삶이란
10,진짜 재밌고- 이기주의,개인주의가 심한 오늘날. 경럼해보지못한 공동체적 따스함을 느낄수 있는. 유쾌 행복한 영화였습니다!^^
10,너무 재밌는 영환데 왜 상영관이 이렇게 작은지 모르겠어요 허접한 영화들보다 백배는 나은듯
10,따뜻한 영화! 기대 안하고 봤는데 정말 재밌었어요!
10,소소하게진짜재ㅣ씁니다
10,잔잔한듯 하면서 웃음과 감동이 있는 영화였어요. 최고입니다.^^
10,아 정말 이토록 사랑스러운 영화라니! 두 번 봐요.
10,덕분에 처음부터 끝까지 흐믓하게 웃었어요... ^^ 병원 생활 후에 맞이한 행복한 일상이어서 더욱 기억에 남을 듯하네요.
9,행복해지고 싶다면...
9,재미도 있고 마음이 따뜻해지는 영화였어요~~~엥
10,생각없이 보다가 생각을 하게 만드는 영화입니다.앞으로도 좋은 프랑스 영화를 많이 접하고 싶네요.상영관이 적어 미로스페이스에서 봤는데 재 개관하여 깨끗하고 1층 까페에서 만원이상 구입하니 1인 초대권도 제공되어 저렴하고 편안하게 봤습니다.
10,마음에 휴식과 여유를 주는 따스하고 유쾌한 영화!
9,개봉이 늦었던 거네요 이제라도 봐서 다행 꿀잼이었어요 ㅋㅋㅋ 슈퍼처방전 봣었는데 거기 나온 출연진 그대로네요
10,좋고 행복하고 고맙고. 또 보고싶다
10,따뜻해지는 영화! 코믹한 장면도 많네요 ㅋㅋ
10,오늘 보고왔는데 그냥 진짜 재밌음ㅋㅋㅋㅋ사람들 다 육성으로 웃고ㅋㅋㅋㅋ힐링되는 좋은 영화
10,생각없이 웃다가 영화가 끝난 뒤 잔잔한 웃음을 주는 영화였어요!
10,굿!!!! 베리베리 굿!!!
10,2008년에 봤지만 이제 개봉한다니 놀랍고 반갑네요 당시에 주변 지인들에게 추천했었는데 ㅎㅎ 이처럼 프랑스 영화중에 걸작이 많습니다
10,억지가 아니고 이렇게 즐겁게 웃은게 얼마만인지!
10,두 번을 봐도 또 웃게되는 영화~!!!
9,귀엽고 유쾌한 영화. 주인공 필립아저씨 시무룩한 연기 최고! 술 취한 연기는 더 최고! 그의 웃음소리가 아직도 귀에 맴돈다 보는사람도 웃게 만드는 웃음.
9,힐링이죠. 힐링입니다. ㅎ
10,이 영화 좋은데... 정말 좋은데 집 근처에서 볼 수가 없네!! 상영관 좀 늘려주세요
10,대니 분은 언제나 옳다!
10,처음 평점 남긴다 진짜 영화 재미와 감동 둘다 잡았네
10,보고나면 마음이 훈훈해지고 따뜻해진다그냥 따뜻해진다 무조건 걍 따뜻하다 너무좋다 즐겁다꼭 보세요
10,잔잔하지만 뛰어난 구성연기력 흠잡을게없어요
9,관람하는 사람들 얼굴을보니 다 좋아보였다. 소박하고 따뜻하고 사람사는 맛을 보여주는 영화
7,정말 훈훈한 프랑스 힐링무비.나온지는 꽤 되었더라구요.
10,실관람객입니다 프랑스 영화라 이질감 느끼지 않을까 걱정했지만 정말 훈훈하고 언어의 장벽은 저 멀리 던져버리개 하네요 더 많이 상영 되었으면 좋겠습니다 너무 재밌어요 평론가5점 이해가 안되네요
